Gene stable ID	Gene name
YBR024W	
YDL245C	
YBR232C	
YDR320W-B	
YBR021W	
YGR014W	
tT(AGU)O2	
YKL119C	VPH2
YPR031W	
YKL066W	
YJL076W	NET1
YPL174C	NIP100
YIL003W	CFD1
YML066C	
YMR129W	
YBR140C	IRA1
YGR242W	
YKR047W	
YKL029C	
YLR154C-G	
YPL028W	ERG10
YDL235C	
tR(ACG)E	
YER091C	
YMR121C	RPL15B
YDR356W	SPC110
YDR337W	
YKL008C	LAC1
YER055C	
YFR004W	RPN11
YDR108W	TRS85
YDL200C	MGT1
YJR134C	
Q0158	21S_RRNA
YMR135C	GID8
YGR012W	
YNL244C	SUI1
YCR024C-A	
YOR027W	
YBL101C	ECM21
YLL040C	VPS13
YDR181C	
YML116W-A	YML116W-A
tG(UCC)O	
YPR096C	
YJL210W	PEX2
YLR216C	CPR6
YGL118C	
YMR021C	MAC1
YNL079C	TPM1
YBL058W	SHP1
YJR127C	RSF2
YLR088W	GAA1
YKL128C	
YLR100W	
YKL106C-A	
YBR080C	SEC18
YOR292C	
YNL219C	
YPR179C	HDA3
YOL062C	APM4
YDR540C	
YER087W	
YOL140W	
YFL009W	
YLL004W	
YKL057C	NUP120
YPL130W	
YDL046W	
YPL072W	
tY(GUA)F1	
YPR150W	
YER180C	
YGL157W	
YDR252W	
YLR037C	PAU23
YMR307W	GAS1
YIL116W	
YAL040C	CLN3
YGL232W	
YHR181W	SVP26
YBR051W	
YPL259C	APM1
YDR461C-A	
YJL087C	TRL1
YIR005W	IST3
YDL080C	THI3
YJL209W	
YLR286C	
YEL044W	
YOR371C	GPB1
YLR071C	RGR1
YBL050W	SEC17
YOR025W	
YHL001W	RPL14B
YJR042W	NUP85
YNL185C	MRPL19
YBR129C	
YKL145W	RPT1
YIL015W	BAR1
YPL018W	CTF19
YLR160C	ASP3-4
YIL047C	
YBL039C-A	
YOR061W	CKA2
YJR005C-A	
YLR352W	
YDR068W	
tS(GCU)O	
YJL128C	PBS2
YPL228W	CET1
YML036W	
YKL114C	
YDR078C	
snR7-L	SNR7-L
YCR105W	ADH7
YJR083C	
YDR248C	
snR82	SNR82
YPL199C	
YNL136W	
YLL045C	RPL8B
YOR316C-A	
YNL264C	PDR17
YLR320W	MMS22
YBR028C	
YKL098W	
YBR063C	
YJL052C-A	
YPR060C	ARO7
YLL013C	
YKR067W	GPT2
YLR040C	
YMR093W	
YIL058W	
YHR136C	
YBR078W	
YCL054W	
YIL072W	
YOR231C-A	
YCR016W	
YEL020C	
YPL025C	
RDN58-2	RDN58-2
YDL136W	RPL35B
YBR211C	AME1
YJL077W-A	
YOR076C	SKI7
YDR104C	
YBR279W	
YLR067C	
YHR219W	
YGR249W	
YLR456W	
YGR283C	
YDL027C	
YKR023W	
YGR028W	MSP1
YCL001W-A	
YDR052C	DBF4
YFR035C	
YJL102W	
YNL336W	
YGL006W	
YDR217C	
YMR194C-A	
YKL033W	TTI1
YOR223W	
YOR032W-A	
YBR260C	
YLR359W	ADE13
YHR062C	
YDR022C	CIS1
YDR459C	
YNL184C	
YDR293C	SSD1
YPL195W	APL5
YMR173W	DDR48
YDR374W-A	
YAL007C	
YGL235W	
YGL134W	
YER001W	
YDR366C	
YHR023W	
tI(AAU)E2	
YDR430C	CYM1
YGR002C	SWC4
YNL220W	ADE12
YBR109W-A	
YHR110W	
YKL136W	
YLL067C	
YPL078C	ATP4
YBR073W	RDH54
YPL119C	DBP1
YOR135C	
YPL212C	
snR60	
tE(UUC)G3	
YGL179C	
YNL159C	
YFR048W	
YDR016C	
YKL215C	
YML035C	AMD1
YDL059C	
tK(CUU)D2	
YOR257W	CDC31
tE(UUC)G2	
YNL144C	
YIL172C	
YOR301W	
HRA1	
YHR157W	
YPR152C	
YDR442W	
YPL008W	CHL1
YMR086C-A	
YGL032C	AGA2
YEL077C	
YGR174W-A	
YOR148C	
YHL048W	
YDR114C	
YDR194W-A	
YML062C	MFT1
YPR085C	
tR(UCU)K	
YBL095W	
YAR028W	
YGR054W	
YOR096W	RPS7A
YMR022W	UBC7
YCR027C	RHB1
YDL183C	
YJL225W-A	
YNL278W	
YLR395C	
YDR446W	
YKL023W	
YPL106C	SSE1
tI(AAU)L1	
tD(GUC)O	
