Gene	FDR	RANKS_score
HARS	2.81869849051677e-05	-5.42947631853151
SRSF2	2.81869849051677e-05	-5.21247492671602
PCNA	2.81869849051677e-05	-5.09695356224244
KIF11	2.81869849051677e-05	-5.06826286762842
NHP2L1	2.81869849051677e-05	-5.05935870401651
KPNB1	2.81869849051677e-05	-5.03708861763945
RRM1	2.81869849051677e-05	-5.03038607426287
SEPSECS	2.81869849051677e-05	-5.02856782513896
ENO1	2.81869849051677e-05	-4.98595925314266
RPL18	2.81869849051677e-05	-4.94717662975623
WDR43	2.81869849051677e-05	-4.93652215362603
RUVBL1	2.81869849051677e-05	-4.90377674656779
DKC1	2.81869849051677e-05	-4.87203023259745
NFS1	2.81869849051677e-05	-4.83172457557021
TUFM	2.81869849051677e-05	-4.7957632396922
KARS	2.81869849051677e-05	-4.78774418764389
PHF5A	2.81869849051677e-05	-4.78236467558907
RPL8	2.81869849051677e-05	-4.78144773419583
COA5	2.81869849051677e-05	-4.77915478396249
RCC1	2.81869849051677e-05	-4.75370062658051
RPAP1	2.81869849051677e-05	-4.73612136414097
TXNL4A	2.81869849051677e-05	-4.7299591516062
GMPPB	2.81869849051677e-05	-4.72512089681142
MAU2	2.81869849051677e-05	-4.72239425299957
PRMT5	2.81869849051677e-05	-4.7145905313375
SNRPD3	2.81869849051677e-05	-4.71423592072608
HSPA9	2.81869849051677e-05	-4.70899773993534
DDX23	2.81869849051677e-05	-4.68948702314884
UMPS	2.81869849051677e-05	-4.68355298699519
MAT2A	2.81869849051677e-05	-4.67199301677472
MARS	2.81869849051677e-05	-4.64819829810622
RPS15	2.81869849051677e-05	-4.64550616858196
ACTR8	2.81869849051677e-05	-4.64355342994875
DNM2	2.81869849051677e-05	-4.63989946406318
EEF2	2.81869849051677e-05	-4.63194682381881
DDX46	2.81869849051677e-05	-4.60297390126995
LARS	2.81869849051677e-05	-4.58850914100557
ALDOA	2.81869849051677e-05	-4.57495901884812
TFRC	2.81869849051677e-05	-4.56844671626245
INTS3	2.81869849051677e-05	-4.55952770615784
RABGGTB	2.81869849051677e-05	-4.55560221291701
DDX49	2.81869849051677e-05	-4.52966436563585
CFL1	2.81869849051677e-05	-4.52310063563096
PCID2	2.81869849051677e-05	-4.51579211200381
TYMS	2.81869849051677e-05	-4.51212853308221
IARS	2.81869849051677e-05	-4.5090083139225
SNRPF	2.81869849051677e-05	-4.50876595757417
SLC2A1	2.81869849051677e-05	-4.50302847673974
ATP6V0C	2.81869849051677e-05	-4.50044239074024
GRPEL1	2.81869849051677e-05	-4.48939227929781
SUPV3L1	2.81869849051677e-05	-4.47503399563215
WDR74	2.81869849051677e-05	-4.46592976017114
AHCY	2.81869849051677e-05	-4.46456633669453
SMC1A	2.81869849051677e-05	-4.45438041123188
RAN	2.81869849051677e-05	-4.45000235305791
MED16	2.81869849051677e-05	-4.44604604898434
PRIM1	2.81869849051677e-05	-4.44202002167677
POLR2B	2.81869849051677e-05	-4.43015887723287
DTYMK	2.81869849051677e-05	-4.42580511648274
RPS8	2.81869849051677e-05	-4.41781899765287
PELP1	2.81869849051677e-05	-4.40488518967201
TELO2	2.81869849051677e-05	-4.40264212958548
GPN2	2.81869849051677e-05	-4.39945920912397
DBR1	2.81869849051677e-05	-4.39292609843741
PAICS	2.81869849051677e-05	-4.39259814283367
MRPL33	2.81869849051677e-05	-4.39245291115514
MED1	2.81869849051677e-05	-4.38657834214693
DCTN5	2.81869849051677e-05	-4.37811967427583
NUBP1	2.81869849051677e-05	-4.37320024097904
SF3B3	2.81869849051677e-05	-4.36414787689518
PSMD14	2.81869849051677e-05	-4.36303126877875
POLD2	2.81869849051677e-05	-4.35672732742874
TSR2	2.81869849051677e-05	-4.35440302019464
PYROXD1	2.81869849051677e-05	-4.35422043438461
ORAOV1	2.81869849051677e-05	-4.34006392352325
ATP6V1A	2.81869849051677e-05	-4.3206758492926
PSMA6	2.81869849051677e-05	-4.31672945529898
HSD17B10	2.81869849051677e-05	-4.31588968397121
RPS7	2.81869849051677e-05	-4.31563139495535
RPS6	2.81869849051677e-05	-4.30944631745164
RPS14	2.81869849051677e-05	-4.30626801222341
MTHFD1	2.81869849051677e-05	-4.30497945845169
PSMA7	2.81869849051677e-05	-4.30297917416702
RPL36	2.81869849051677e-05	-4.29945389177642
NARS	2.81869849051677e-05	-4.29623107243592
CCDC94	2.81869849051677e-05	-4.28630028058303
LIG1	2.81869849051677e-05	-4.28269215685831
IMP4	2.81869849051677e-05	-4.28100940342061
ERCC3	2.81869849051677e-05	-4.27809043641164
ARL2	2.81869849051677e-05	-4.27511701040312
PELO	2.81869849051677e-05	-4.27431648421551
RPP21	2.81869849051677e-05	-4.27259814526242
ATP2A2	2.81869849051677e-05	-4.26989951598568
CENPM	2.81869849051677e-05	-4.26855486179997
NOC2L	2.81869849051677e-05	-4.25773064016849
RPL14	2.81869849051677e-05	-4.24356066900842
USP5	2.81869849051677e-05	-4.23390282849256
